#
#  Mapping of v3 names to v4 names
#
#  This file is used by the upgrade tool.
#
3Com-Connect_Id                         	Vendor-Specific.3com.Connect_Id
ASN-Pps-Up                              	Vendor-Specific.ASN.Pps-Up
ASN-QoS-Available                       	Vendor-Specific.ASN.QoS-Available
ASN-QoS-State                           	Vendor-Specific.ASN.QoS-State
ASN-TCP-Connlimit                       	Vendor-Specific.ASN.TCP-Connlimit
ASN-Webfilter-Destination               	Vendor-Specific.ASN.Webfilter-Destination
ASN-Webfilter-Domain                    	Vendor-Specific.ASN.Webfilter-Domain
ASN-Webfilter-Mode                      	Vendor-Specific.ASN.Webfilter-Mode
ASN-Webfilter-Redirect                  	Vendor-Specific.ASN.Webfilter-Redirect
Acc-Access-Community                    	Vendor-Specific.ACC.Access-Community
Acc-Access-Partition                    	Vendor-Specific.ACC.Access-Partition
Acc-Acct-On-Off-Reason                  	Vendor-Specific.ACC.Acct-On-Off-Reason
Acc-Ace-Token                           	Vendor-Specific.ACC.Ace-Token
Acc-Ace-Token-Ttl                       	Vendor-Specific.ACC.Ace-Token-Ttl
Acc-Apsm-Oversubscribed                 	Vendor-Specific.ACC.Apsm-Oversubscribed
Acc-Bridging-Support                    	Vendor-Specific.ACC.Bridging-Support
Acc-Callback-CBCP-Type                  	Vendor-Specific.ACC.Callback-CBCP-Type
Acc-Callback-Delay                      	Vendor-Specific.ACC.Callback-Delay
Acc-Callback-Mode                       	Vendor-Specific.ACC.Callback-Mode
Acc-Callback-Num-Valid                  	Vendor-Specific.ACC.Callback-Num-Valid
Acc-Calling-Station-Category            	Vendor-Specific.ACC.Calling-Station-Category
Acc-Ccp-Option                          	Vendor-Specific.ACC.Ccp-Option
Acc-Clearing-Cause                      	Vendor-Specific.ACC.Clearing-Cause
Acc-Clearing-Location                   	Vendor-Specific.ACC.Clearing-Location
Acc-Connect-Rx-Speed                    	Vendor-Specific.ACC.Connect-Rx-Speed
Acc-Connect-Tx-Speed                    	Vendor-Specific.ACC.Connect-Tx-Speed
Acc-Customer-Id                         	Vendor-Specific.ACC.Customer-Id
Acc-Dial-Port-Index                     	Vendor-Specific.ACC.Dial-Port-Index
Acc-Dialout-Auth-Mode                   	Vendor-Specific.ACC.Dialout-Auth-Mode
